ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
30464;Wien 1 - Innere Stadt;01004 Innere Stadt;Erstes Wiener Hochhaus;Herrengasse 6-8;265/8;Bescheid
30478;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Palais Modena, BM für Inneres;Herrengasse 7;76;§ 2a
7498;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais, Ehem. Palais Mollard-Clary;Herrengasse 9;77;Bescheid
50334;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Himmelpfortgasse 10;986;Bescheid
30487;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Himmelpfortgasse 11;967;Bescheid
50335;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Himmelpfortgasse 12;985;Bescheid
30491;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Fürstenberg;Himmelpfortgasse 13;968;Bescheid
96468;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus und Hauszeichen, Heilung des Tobias/Schild der ehem. Waldheim Apotheke;Himmelpfortgasse 14;984;Bescheid
30506;Wien 1 - Innere Stadt;01004 Innere Stadt;sog. Paltisches Haus;Himmelpfortgasse 15;969;Bescheid
30509;Wien 1 - Innere Stadt;01004 Innere Stadt;ehem. Benefiziatenhaus des Wiener Magistrat;Himmelpfortgasse 17;972;Bescheid
50348;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Himmelpfortgasse 19;973;§ 2a
50324;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Himmelpfortgasse 3;943;§ 2a
50333;Wien 1 - Innere Stadt;01004 Innere Stadt;BM für Finanzen;Himmelpfortgasse 6;994;§ 2a
31689;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Himmelpfortgasse 7;965;Bescheid
30485;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Stadtpalais des Prinzen Eugen, BM für Finanzen;Himmelpfortgasse 8;987, 992;§ 2a
30486;Wien 1 - Innere Stadt;01004 Innere Stadt;Finanzministerium, Teil des ehem. Himmelpfortkloster;Himmelpfortgasse 9;966;Bescheid
50462;Wien 1 - Innere Stadt;01004 Innere Stadt;Museum für Völkerkunde;Hofburg;1;Bescheid
20112;Wien 1 - Innere Stadt;01004 Innere Stadt;Reichskanzleitrakt;Hofburg;1;Bescheid
20131;Wien 1 - Innere Stadt;01004 Innere Stadt;Kaiser Franz-Denkmal (Franz II.);Hofburg;1;Bescheid
20142;Wien 1 - Innere Stadt;01004 Innere Stadt;Schweizerhofbrunnen;Hofburg;1;Bescheid
13764;Wien 1 - Innere Stadt;01004 Innere Stadt;Leopoldinischer Trakt;Hofburg;1;Bescheid
13768;Wien 1 - Innere Stadt;01004 Innere Stadt;Palmenhaus;Hofburg;1;Bescheid
50501;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Hohenstaufengasse 1;198/9;Bescheid
30521;Wien 1 - Innere Stadt;01004 Innere Stadt;Haustor mit dem Flur samt Bronzebüste;Hohenstaufengasse 2;198/4;Bescheid
50500;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Länderbankgebäude;Hohenstaufengasse 3;198/8;§ 2a
76442;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Hohenstaufengasse 5;198/10;Bescheid
20922;Wien 1 - Innere Stadt;01004 Innere Stadt;Vermählungsbrunnen;Hoher Markt;1646;§ 2a
88451;Wien 1 - Innere Stadt;01004 Innere Stadt;Anker-Uhr;Hoher Markt 10, 11;529;Bescheid
