ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
35555;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Winkler- oder Wallnerhaus;Brodgasse 3;53;Bescheid
37332;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Brodgasse 9;50;Bescheid
60907;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Wäscherhaus;Brunnhausgasse 16;2299;§ 2a
81166;Salzburg (Statutarstadt);56537 Salzburg;ehem. Daun- oder Domherrenschlösschen, Villa Bertha;Brunnhausgasse 29;2449/1;Bescheid
45588;Salzburg (Statutarstadt);56537 Salzburg;Brunnhaus mit Pumpwerk;Brunnhausgasse 5;2309;Bescheid
48658;Salzburg (Statutarstadt);56537 Salzburg;Villa Johann Piger;Bucklreuthstraße 14;2797;Bescheid
67657;Salzburg (Statutarstadt);56537 Salzburg;ehem. Bürgerspital, Admonter Hof, Spielzeugmuseum;Bürgerspitalgasse 2;"385; 384";§ 2a
60831;Salzburg (Statutarstadt);56537 Salzburg;Kath. Pfarrkirche, Bürgerspitalskirche hl. Blasius;Bürgerspitalplatz 2;386;§ 2a
35604;Salzburg (Statutarstadt);56537 Salzburg;Stadttor, Gstättentor, Schleiferbogen;Bürgerspitalplatz 4;388;Bescheid
60832;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus;Bürgerspitalplatz 5;445/1;§ 2a
44982;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Chiemseegasse 1;124;Bescheid
44983;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Hoftischlerhaus;Chiemseegasse 2;126;Bescheid
44411;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Kochmayerhaus;Chiemseegasse 3;123;Bescheid
36721;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus;Chiemseegasse 4;127;Bescheid
44893;Salzburg (Statutarstadt);56537 Salzburg;Miethaus, Knoblauchhaus;Chiemseegasse 5;122;Bescheid
44853;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Chiemseegasse 6;128;Bescheid
60855;Salzburg (Statutarstadt);56537 Salzburg;"Chiemseehof; Garten als archäologisches Fundhoffnungsgebiet";Chiemseegasse 8;150, 151;§ 2a
35556;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Döllerergäßchen 4;88;Bescheid
35557;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Badestube zu Chaltenbach;Döllerergäßchen 6;87;Bescheid
67656;Salzburg (Statutarstadt);56537 Salzburg;Mariensäule;Domplatz;2;§ 2a
46853;Salzburg (Statutarstadt);56537 Salzburg;Dom, hll. Rupert und Virgil;Domplatz 1a;1;§ 2a
84584;Salzburg (Statutarstadt);56537 Salzburg;Dreifaltigkeitskirche und Priesterhaus;Dreifaltigkeitsgasse 12-14;"869, 867; 868";§ 2a
35558;Salzburg (Statutarstadt);56537 Salzburg;Ehem. Borromäum, Mozarteum;Dreifaltigkeitsgasse 15-19;"951; 950";Bescheid
46132;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Cafe Koller;Dreifaltigkeitsgasse 2;837;Bescheid
46127;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, ehem. Münchnerhof;Dreifaltigkeitsgasse 3;842;Bescheid
46655;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Stadtkochhaus;Dreifaltigkeitsgasse 4;836;Bescheid
46656;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Ehem. Mönchnerhof;Dreifaltigkeitsgasse 5;843;Bescheid
46126;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Goldschlägerhaus mit Sauterbogen;Dreifaltigkeitsgasse 6;863;Bescheid
46691;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Graf Überacker-Stock;Dreifaltigkeitsgasse 9;860/4;Bescheid
84532;Salzburg (Statutarstadt);56537 Salzburg;Evang. Pfarrkirche A.B., Christuskirche;Elisabethkai 22a;991;§ 2a
60990;Salzburg (Statutarstadt);56537 Salzburg;evangelischer Pfarrhof;Elisabethkai 24;995;§ 2a
72667;Salzburg (Statutarstadt);56537 Salzburg;Pfarrhof, St. Elisabeth;Elisabethstraße 39;1181/2;§ 2a
40458;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Wohngebäude;Elisabethstraße 49;1187/10;Bescheid
60895;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, sog. Mayburgerhaus;Erhardgäßchen 2;2257;§ 2a
83391;Salzburg (Statutarstadt);56537 Salzburg;Kruzifix/Kreuz;Erhardplatz;2223;§ 2a
42406;Salzburg (Statutarstadt);56537 Salzburg;Petersbrunnhof;Erzabt-Klotz-Straße 22;2149;§ 2a
21125;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, ehem. Hotel Habsburg;Faberstraße 10;1473;Bescheid
42183;Salzburg (Statutarstadt);56537 Salzburg;Miethaus, Hellerhaus;Faberstraße 11;1063/1;Bescheid
22622;Salzburg (Statutarstadt);56537 Salzburg;Wohnhaus;Faberstraße 12;1472;Bescheid
22623;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus;Faberstraße 14;1471;Bescheid
60980;Salzburg (Statutarstadt);56537 Salzburg;Büro- und Wohnhaus (ehem. Arbeiterunfallversicherung);Faberstraße 20, 22, 24;1087/15, 1087/56;Bescheid
42180;Salzburg (Statutarstadt);56537 Salzburg;Miethaus, Hellerhaus;Faberstraße 7;1065;Bescheid
42182;Salzburg (Statutarstadt);56537 Salzburg;Miethaus, Hellerhaus;Faberstraße 9;1063/1;Bescheid
60954;Salzburg (Statutarstadt);56537 Salzburg;Lebensmittelwerke Union;Fanny-v.-Lehnert-Straße 4;1218/6;Bescheid
81053;Salzburg (Statutarstadt);56537 Salzburg;Wandbrunnen;Ferdinand-Hanusch-Platz 4;4141;§ 2a
60874;Salzburg (Statutarstadt);56537 Salzburg;Dompfarramt;Festungsgasse 1;301;§ 2a
89501;Salzburg (Statutarstadt);56537 Salzburg;Wohnhaus;Festungsgasse 3-5;299, 300;§ 2a
40459;Salzburg (Statutarstadt);56537 Salzburg;Seilbahnstation, Talstation der Festungsbahn;Festungsgasse 4;284/1;Bescheid
44857;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Wannerbehausung;Festungsgasse 6;281;Bescheid
44858;Salzburg (Statutarstadt);56537 Salzburg;Gasthaus, Stieglbräukeller, Wallmannsbergerbehausung;Festungsgasse 8,10;"277, 275; 279";Bescheid
130239;Salzburg (Statutarstadt);56537 Salzburg;Municipium Ivavum;Franziskanergasse 5;323, 324, 326/1;Bescheid
